,danceability,energy,duration_ms,loudness,speechiness,instrumentalness,liveness,valence,tempo,acousticness
121,0.877,0.647,187773,-5.305,0.129,2.8e-06,0.134,0.678,90.028,0.22
122,0.783,0.685,236333,-5.008,0.0271,3.49e-06,0.108,0.54,107.01,0.627
123,0.781,0.67,169333,-3.912,0.0452,0.0,0.0761,0.595,127.99,0.0103
124,0.706,0.713,211267,-3.609,0.0367,0.0,0.114,0.973,142.002,0.319
125,0.769,0.812,280274,-2.088,0.0825,2.63e-05,0.0781,0.926,180.003,0.281
126,0.397,0.613,330040,-5.077,0.0549,0.0,0.192,0.405,78.4,0.0396
127,0.571,0.418,229053,-6.89,0.0303,0.0,0.0705,0.518,100.738,0.109
128,0.718,0.712,189653,-4.366,0.174,0.00121,0.104,0.531,180.034,0.512
129,0.734,0.663,219573,-6.279,0.309,0.0,0.649,0.845,166.846,0.341
130,0.422,0.302,248827,-9.214,0.0372,7.83e-05,0.104,0.123,114.089,0.629
131,0.691,0.793,185236,-4.037,0.284,0.0,0.166,0.489,134.037,0.27
132,0.605,0.8,236731,-3.018,0.312,0.000128,0.0763,0.732,92.284,0.518
133,0.803,0.715,200960,-3.28,0.298,0.000134,0.0574,0.574,101.085,0.295
134,0.736,0.785,250907,-3.676,0.0567,4.44e-06,0.109,0.747,176.021,0.198
135,0.664,0.609,210560,-6.509,0.0707,0.0,0.0926,0.194,130.041,0.304
136,0.841,0.674,382555,-5.35,0.0962,0.0,0.131,0.761,90.007,0.104
137,0.585,0.75,182813,-3.974,0.145,0.0,0.3,0.619,179.881,0.203
138,0.566,0.488,149720,-6.21,0.026,0.0,0.141,0.444,106.955,0.118
139,0.68,0.633,187353,-6.861,0.0317,0.0,0.103,0.707,109.743,0.518
140,0.603,0.508,246001,-9.437,0.217,0.0,0.14,0.301,86.723,0.114
141,0.749,0.463,226987,-8.433,0.0842,0.0382,0.338,0.189,90.035,0.21
142,0.663,0.802,225240,-4.086,0.246,0.0,0.166,0.679,177.842,0.188
143,0.702,0.741,187585,-5.33,0.0427,0.0,0.337,0.646,124.925,0.00544
144,0.773,0.777,270576,-4.509,0.14,0.0,0.291,0.491,134.845,0.539
145,0.548,0.568,185080,-4.46,0.0292,0.0,0.0916,0.735,83.308,0.675
146,0.748,0.787,199552,-4.026,0.103,0.00625,0.122,0.711,81.99,0.356
147,0.793,0.782,191945,-3.945,0.0582,0.0,0.124,0.81,143.86,0.447
148,0.436,0.4,189050,-6.521,0.11,0.0,0.76,0.568,75.576,0.463
149,0.724,0.357,228545,-8.197,0.0715,0.0,0.12,0.69,141.159,0.432
150,0.937,0.791,289013,-5.242,0.0871,0.000232,0.0433,0.974,119.967,0.0205
151,0.903,0.704,223093,-6.702,0.114,0.0044,0.117,0.587,92.009,0.0272
152,0.824,0.587,209438,-6.401,0.0937,0.000105,0.149,0.514,98.029,0.69
153,0.607,0.548,130760,-3.453,0.0258,0.0,0.195,0.827,150.189,0.471
154,0.933,0.528,214653,-6.472,0.161,0.312,0.163,0.754,109.967,0.112
155,0.332,0.225,298899,-8.697,0.0348,0.00349,0.128,0.297,81.055,0.767
156,0.794,0.693,146889,-5.881,0.0313,0.0,0.157,0.83,97.538,0.0995
157,0.677,0.455,232573,-7.123,0.0708,0.0,0.101,0.817,159.941,0.231
158,0.663,0.598,150720,-4.042,0.17,8.02e-05,0.0856,0.4,172.245,0.193
159,0.811,0.323,157760,-13.873,0.0744,1.63e-05,0.019,0.764,88.018,0.504
160,0.626,0.535,200946,-5.327,0.0408,0.0,0.172,0.848,77.984,0.59
161,0.763,0.621,211130,-6.169,0.066,2.94e-06,0.106,0.582,82.042,0.0105
162,0.583,0.743,205236,-4.103,0.0299,2.59e-06,0.107,0.762,127.963,0.429
163,0.77,0.787,140500,-3.748,0.0583,0.0,0.262,0.513,119.986,0.198
164,0.747,0.739,220196,-6.008,0.0487,2.22e-05,0.101,0.523,120.996,0.0106
165,0.607,0.666,228427,-4.187,0.0407,0.0,0.201,0.79,139.542,0.168
166,0.542,0.665,272827,-8.121,0.0297,0.0,0.177,0.417,147.977,0.522
167,0.439,0.61,215508,-7.236,0.116,1.07e-05,0.341,0.172,181.088,0.593
168,0.88,0.751,157606,-4.258,0.0874,6.43e-05,0.106,0.884,117.948,0.177
169,0.631,0.683,161040,-8.788,0.0344,0.0,0.0994,0.708,97.959,0.291
170,0.614,0.56,287929,-7.68,0.0378,4.99e-06,0.106,0.538,155.293,0.305
171,0.503,0.548,228920,-7.564,0.164,0.000234,0.145,0.441,94.036,0.0751
172,0.765,0.743,203478,-3.782,0.0514,0.0,0.0769,0.508,91.964,0.0457
173,0.824,0.764,172627,-4.175,0.0854,0.00294,0.117,0.881,107.998,0.0888
174,0.778,0.695,132780,-6.865,0.0913,0.0,0.15,0.472,149.996,0.175
175,0.967,0.495,252000,-6.934,0.106,0.0,0.0826,0.824,116.332,0.126
176,0.772,0.758,265240,-3.891,0.0482,0.0,0.295,0.654,115.977,0.0433
177,0.695,0.884,203808,-2.278,0.0753,0.0,0.213,0.914,103.014,0.0561
178,0.449,0.465,198371,-8.964,0.0791,1.02e-06,0.303,0.543,89.087,0.524
179,0.702,0.741,187585,-5.33,0.0427,0.0,0.337,0.646,124.925,0.00544
180,0.484,0.58,183693,-6.557,0.256,0.0,0.374,0.597,160.138,0.354
181,0.68,0.321,215986,-10.944,0.0376,4.67e-06,0.125,0.416,110.827,0.791
182,0.401,0.499,184080,-7.643,0.0272,0.0,0.149,0.262,144.276,0.217
183,0.61,0.677,289600,-9.813,0.0325,0.0,0.232,0.444,103.946,0.0614
184,0.746,0.532,163893,-8.336,0.0649,6.67e-06,0.101,0.976,121.375,0.725
185,0.736,0.704,212000,-7.409,0.0615,0.0,0.0501,0.894,149.995,0.0203
186,0.823,0.723,198493,-4.778,0.229,0.00315,0.0998,0.505,83.97,0.311
187,0.587,0.411,175125,-8.758,0.0475,0.0,0.273,0.53,140.277,0.185
188,0.818,0.638,188604,-6.926,0.225,0.0,0.495,0.783,112.753,0.00673
189,0.863,0.669,260545,-5.952,0.282,0.0,0.0569,0.947,164.062,0.111
190,0.484,0.593,184189,-6.454,0.249,0.0,0.376,0.569,160.143,0.317
191,0.895,0.707,201597,-7.478,0.0931,0.0,0.115,0.481,93.036,0.00935
192,0.524,0.49,163224,-7.889,0.0593,0.0,0.123,0.681,166.698,0.381
193,0.811,0.683,190101,-2.028,0.241,4.75e-05,0.128,0.571,176.037,0.46
194,0.791,0.649,221749,-2.312,0.276,0.0,0.184,0.951,190.087,0.0624
195,0.816,0.582,175903,-4.64,0.0579,2.74e-05,0.176,0.873,89.977,0.176
196,0.606,0.853,209766,-2.975,0.0545,0.0,0.251,0.822,178.043,0.237
197,0.546,0.663,226816,-6.968,0.1,1.82e-06,0.674,0.934,145.422,0.176
198,0.734,0.775,224187,-3.855,0.0614,0.000542,0.123,0.72,166.039,0.186
199,0.836,0.766,176000,-6.229,0.0371,1.18e-06,0.091,0.844,112.548,0.323
200,0.752,0.719,235858,-4.399,0.0285,7.96e-05,0.126,0.544,107.582,0.264
201,0.759,0.459,164442,-5.187,0.0948,0.0,0.0906,0.695,109.997,0.00323
202,0.77,0.899,231604,-2.981,0.0494,1.14e-06,0.0894,0.851,128.05,0.222
203,0.715,0.793,190293,-3.205,0.0647,5.71e-05,0.256,0.713,95.011,0.329
204,0.834,0.485,181928,-11.103,0.475,0.0,0.272,0.55,175.99,0.373
205,0.871,0.815,176575,-4.439,0.0477,6.18e-06,0.094,0.823,122.959,0.127
206,0.765,0.625,164706,-3.599,0.0548,0.00111,0.112,0.262,102.101,0.584
207,0.695,0.575,173160,-6.334,0.116,0.0,0.0614,0.699,163.929,0.198
208,0.707,0.567,125819,-4.091,0.0492,1.28e-06,0.0668,0.964,116.794,0.597
209,0.76,0.674,202307,-4.039,0.0636,3.54e-05,0.0977,0.735,172.024,0.396
210,0.664,0.659,157320,-4.232,0.0873,0.00024,0.0874,0.797,175.826,0.0625
211,0.894,0.65,292160,-4.956,0.117,0.00869,0.057,0.787,87.982,0.00248
212,0.704,0.739,208292,-3.286,0.112,1.93e-05,0.0856,0.425,179.879,0.328
213,0.515,0.704,217213,-5.25,0.206,0.0,0.415,0.885,91.246,0.767
214,0.649,0.307,225213,-7.209,0.0756,0.0,0.0705,0.713,74.833,0.575
215,0.73,0.702,142911,-4.582,0.0337,0.0,0.119,0.868,102.304,0.329
216,0.644,0.661,199882,-4.877,0.451,0.0,0.0733,0.355,180.05,0.369
217,0.369,0.272,152667,-10.497,0.0364,0.0,0.147,0.218,172.929,0.866
218,0.739,0.788,324426,-5.198,0.0731,0.0,0.282,0.473,175.996,0.0513
219,0.795,0.655,215891,-3.815,0.0422,1.76e-06,0.296,0.744,93.029,0.076
220,0.495,0.568,143081,-3.961,0.0299,0.0,0.123,0.633,140.187,0.616
221,0.807,0.656,185840,-4.395,0.105,0.0,0.0693,0.89,83.943,0.0165
222,0.826,0.47,193237,-7.609,0.0584,0.0,0.0979,0.964,118.198,0.396
223,0.736,0.632,216107,-4.939,0.0648,0.0,0.349,0.503,92.03,0.18
224,0.883,0.668,226533,-2.957,0.113,0.000529,0.0734,0.676,87.972,0.11
225,0.65,0.655,171215,-3.71,0.405,0.0,0.0691,0.735,94.059,0.25
226,0.861,0.678,259600,-4.157,0.0536,2.42e-05,0.106,0.723,103.994,0.253
227,0.627,0.849,158087,-3.167,0.153,0.0,0.145,0.818,89.907,0.0913
228,0.676,0.771,207133,-3.675,0.0483,7e-06,0.102,0.569,99.048,0.0237
229,0.93,0.837,158532,-4.632,0.187,2.37e-06,0.239,0.821,111.898,0.256
230,0.395,0.443,175933,-9.72,0.133,9.67e-06,0.0839,0.338,168.924,0.765
231,0.473,0.448,239498,-9.35,0.0378,0.0,0.104,0.6,189.195,0.709
232,0.75,0.608,173347,-4.008,0.0387,0.0,0.178,0.958,132.507,0.00165
233,0.592,0.494,209771,-10.618,0.0747,0.0,0.13,0.231,132.037,0.237
234,0.662,0.759,211353,-5.475,0.0353,0.0,0.141,0.513,92.438,0.389
235,0.544,0.216,235471,-17.237,0.0402,0.311,0.112,0.145,75.004,0.922
236,0.531,0.834,247640,-3.944,0.052,0.0,0.131,0.526,142.026,0.277
237,0.765,0.574,182600,-4.36,0.0926,1.04e-05,0.0567,0.815,176.001,0.182
238,0.877,0.777,231848,-4.246,0.117,3.46e-05,0.0863,0.706,102.02,0.0446
239,0.655,0.672,249520,-5.98,0.311,0.0,0.0767,0.343,181.877,0.471
240,0.784,0.63,161813,-4.005,0.0322,0.00741,0.141,0.281,100.003,0.0436
241,0.855,0.463,122773,-7.454,0.0367,1.77e-05,0.347,0.866,102.931,0.217
242,0.728,0.689,197647,-5.718,0.0725,1.26e-05,0.109,0.431,170.089,0.293
243,0.807,0.712,241659,-5.757,0.1,2.37e-05,0.163,0.792,100.004,0.532
244,0.782,0.662,218250,-6.809,0.178,0.0,0.216,0.821,80.008,0.0345
245,0.849,0.781,217143,-4.635,0.159,0.0,0.0801,0.893,84.041,0.406
246,0.724,0.646,177600,-6.475,0.0352,0.000157,0.0923,0.957,112.019,0.072
247,0.716,0.654,186833,-6.702,0.279,0.0,0.127,0.958,180.11,0.249
248,0.82,0.452,253920,-9.796,0.0348,0.00294,0.0714,0.74,117.401,0.543
249,0.778,0.695,132780,-6.865,0.0913,0.0,0.15,0.472,149.996,0.175
250,0.699,0.442,234000,-5.144,0.0277,1.77e-06,0.274,0.816,123.562,0.0966
251,0.448,0.838,208907,-5.257,0.0557,0.000131,0.131,0.254,139.863,0.21
252,0.656,0.665,307435,-1.387,0.189,8.33e-06,0.16,0.569,189.984,0.149
